opcode,mnemonic,length,cycles,flags,format
398,"RES 1,(HL)",1,12,"- - - -","RES 1,(HL)"
399,"RES 1,A",1,4,"- - - -","RES 1,A"
400,"RES 2,B",1,4,"- - - -","RES 2,B"
401,"RES 2,C",1,4,"- - - -","RES 2,C"
402,"RES 2,D",1,4,"- - - -","RES 2,D"
403,"RES 2,E",1,4,"- - - -","RES 2,E"
404,"RES 2,H",1,4,"- - - -","RES 2,H"
405,"RES 2,L",1,4,"- - - -","RES 2,L"
406,"RES 2,(HL)",1,12,"- - - -","RES 2,(HL)"
407,"RES 2,A",1,4,"- - - -","RES 2,A"
408,"RES 3,B",1,4,"- - - -","RES 3,B"
409,"RES 3,C",1,4,"- - - -","RES 3,C"
410,"RES 3,D",1,4,"- - - -","RES 3,D"
411,"RES 3,E",1,4,"- - - -","RES 3,E"
412,"RES 3,H",1,4,"- - - -","RES 3,H"
413,"RES 3,L",1,4,"- - - -","RES 3,L"
414,"RES 3,(HL)",1,12,"- - - -","RES 3,(HL)"
415,"RES 3,A",1,4,"- - - -","RES 3,A"
416,"RES 4,B",1,4,"- - - -","RES 4,B"
417,"RES 4,C",1,4,"- - - -","RES 4,C"
418,"RES 4,D",1,4,"- - - -","RES 4,D"
419,"RES 4,E",1,4,"- - - -","RES 4,E"
420,"RES 4,H",1,4,"- - - -","RES 4,H"
421,"RES 4,L",1,4,"- - - -","RES 4,L"
422,"RES 4,(HL)",1,12,"- - - -","RES 4,(HL)"
423,"RES 4,A",1,4,"- - - -","RES 4,A"
424,"RES 5,B",1,4,"- - - -","RES 5,B"
425,"RES 5,C",1,4,"- - - -","RES 5,C"
426,"RES 5,D",1,4,"- - - -","RES 5,D"
427,"RES 5,E",1,4,"- - - -","RES 5,E"
428,"RES 5,H",1,4,"- - - -","RES 5,H"
429,"RES 5,L",1,4,"- - - -","RES 5,L"
430,"RES 5,(HL)",1,12,"- - - -","RES 5,(HL)"
431,"RES 5,A",1,4,"- - - -","RES 5,A"
432,"RES 6,B",1,4,"- - - -","RES 6,B"
433,"RES 6,C",1,4,"- - - -","RES 6,C"
434,"RES 6,D",1,4,"- - - -","RES 6,D"
435,"RES 6,E",1,4,"- - - -","RES 6,E"
436,"RES 6,H",1,4,"- - - -","RES 6,H"
437,"RES 6,L",1,4,"- - - -","RES 6,L"
438,"RES 6,(HL)",1,12,"- - - -","RES 6,(HL)"
439,"RES 6,A",1,4,"- - - -","RES 6,A"
440,"RES 7,B",1,4,"- - - -","RES 7,B"
441,"RES 7,C",1,4,"- - - -","RES 7,C"
442,"RES 7,D",1,4,"- - - -","RES 7,D"
